PrepId,Description,PakQty,PakUOM,InventoryGroup,StdQty,StdUom
P-54697,LEMON|Wedge 1/8,8,each,PREP,113.398,g
P-35132,MARINATED|Lemon & Herb Chx,185,ea,PREP,185,ea
P-51992,YIELD|Bread|Sourdough 5/8,36,slice,,36,slice
P-26234,BATCH|Roasted Garlic Bread,16,ea,PREP,16,ea
P-26170,GRILLED|NaanBread,1,ea,PREP,1,ea
P-16305,YIELD|Smokie (1pc),1,ea,,1,ea
P-26047,BOILED|Hard Boiled Eggs FT,50,ea,PREP,50,ea
P-26631,BRK|Pancake|Chocolate Chip,24,ea,,24,ea
P-26057,FRIED|Sunny/Overeasy Egg,1,ea,ZDONT USE OK - PREP,1,ea
P-26056,GRILLED|Tomato,1,ea,ZDONT USE OK - PREP,1,ea
P-44587,GRL|FRIED|Egg,1,ea,,1,ea
P-26481,POACHED|Egg|Soft,1,ea,ZDONT USE OK - PREP,1,ea
P-52620,GARNISH|Lime Mini Wedge,8,piece,,8,piece
P-51510,SLICED|Avocado|1/4ea,4,PTN,,4,PTN
P-50398,STICKS|Cucumber,12,CT,PREP,12,CT
P-61796,MARINADE|Bali Pork Chop,10,CT,,10,CT
P-35713,BLACKENED|Chicken,185,ea,PREP,185,ea
P-51508,COOKED|Bacon|Slice,2,slice,,2,slice
P-56795,COOKED|Burger 4oz,1,ea,,1,ea
P-50809,YIELD|Country Loaf|Slice,18,slice,,18,slice
P-50439,FRIED|Tostada,3,piece,,3,piece
P-57631,SKEWER|Greek Chicken ,1,each,,1,each
P-26318,BAKEDPuff Pastry,10,ea,ZDONT USE OK - PREP,10,ea
P-61769,STEW|Chicken Pot Pie  ,8,PIE,,8,PIE
P-55238,MARINADE|Peri Peri Chicken,120,ea,PREP,120,ea
P-43635,ROASTED|Thai Chicken Thighs,25,ea,PREP,25,ea
P-37297,COOKED|Poached Egg,1,each,,1,each
P-53056,GRILLED|Roma Tomato|V2,13,PTN,PREP,13,PTN
P-52222,YIELD|Pickle Spear ea 20-30g,1,ea,,1,ea
P-26965,BAKED|Jalapeno Cornbread,12,piece,PREP,12,piece
P-28369,COST|Bread,1,ea,ZDONT USE OK - PREP,1,ea
P-28372,COST|Cheeses,1,slice,ZDONT USE OK - PREP,1,slice
P-28373,COST|Vegetables,1,un,ZDONT USE OK - PREP,1,un
P-52942,FILLING|Taco|Prawn|FLX,1,each,,1,each
P-51230,WINGS|Sauce Mix|ratio,1,srvg,,1,srvg
P-45255,YIELD|Chicken Strips,70,piece,,70,piece
P-52994,YIELD|Prawn|TACO,35,each,,35,each
P-44392,PREP|Eggs|poached,8,each,PREP,8,each
P-44506,SLICED|Avocado|Quarter,4,each,,4,each
P-43737,VEG|Soft Boiled Egg,20,each,FOOD - GROCERY,20,each
P-51826,GARNISH|Fried Rice Friday,1,PTN,,1,PTN
P-61508,GRILLED|Mexican Corn,8,ea,,8,ea
P-46509,YIELD|Lettuce bun,3,PTN,,3,PTN