Name of Ingredient,Food Category in the Cool Food Pledge
Black Beans|Drained,beans and pulses (dried)
Butter|Unsalted,butter
Arugula,cabbages and other brassicas (broccoli)
Cabbage,cabbages and other brassicas (broccoli)
Cauliflower Florets,cabbages and other brassicas (broccoli)
Kale|Processed,cabbages and other brassicas (broccoli)
Lettuce|Icebag|Sliced,cabbages and other brassicas (broccoli)
Romaine|Chopped,cabbages and other brassicas (broccoli)
Cheese|Cheddar|Sliced,cheese
Cheese|Parmesan|Shred,cheese
Cheese|Provolone|Sliced,cheese
Lime|Juice fresh,citrus fruit 
Lemon|Juice fresh,citrus fruit 
Lime|Wedge,citrus fruit 
Limes MX,citrus fruit 
Corn Kernel Whole,corn (maize) 
33% whipping cream,cream
Shrimp 125/175,crustaceans (shrimp/prawns)
Egg|Fried,eggs
Egg|Liquid whole fresh kosher,eggs
Egg|Scrambled,eggs
Avocado MX,other fruits  
Mango|Chunks,other fruits  
Pineapple|Chunks,other fruits  
Quinoa|White,other grains/cereals
2% milk,milk (cow's milk)
Oil Olive,olives (oil)
Garlic|Puree,onions and leeks
Onion|Diced,onions and leeks
Garlic|Peeled,onions and leeks
Onion|Green|Sliced,onions and leeks
Onion|Pickled,onions and leeks
Shallot,onions and leeks
Shallot|Brunoised,onions and leeks
Shallot|Puree,onions and leeks
Jalapeno|Sliced,other vegetables
Cilantro|Chopped,other vegetables
Herb|Parsley,other vegetables
Chili Red PPR Crushed,other vegetables
Cilantro/Coriander,other vegetables
Cilantro|Minced,other vegetables
Pepper|Red|Diced,other vegetables
Herb|Rosemary,other vegetables
Herb|Thyme,other vegetables
Jalapeno Green,other vegetables
Pepper|Red Thai Chili fresh,other vegetables
Pickle Spear|Drained,other vegetables
Zucchini|Diced,other vegetables
Mix Vegetables 5 veg frozen,other vegetables
Bacon|3mm Natually Smoked,pork (pig meat)
Bacon|Cooked,pork (pig meat)
Italian Sausage,pork (pig meat)
Pork|Char Sui,pork (pig meat)
Pork|Pulled|Cooked,pork (pig meat)
Potato|Diced,potatoes
Chicken|Cooked,"poultry (chicken, turkey)"
Chicken|Crunchy FLT Breaded,"poultry (chicken, turkey)"
Chicken|Thigh|Diced Hahal,"poultry (chicken, turkey)"
Turkey Breakfast Sausage,"poultry (chicken, turkey)"
Oil Canola,rapeseed/canola (oil)
Rice|Cooked,rice
Rice|Steamed,rice
Rice,rice
Ginger|Puree,root vegetables
Ginger|Peeled,root vegetables
Carrot|Shredded,root vegetables
Ginger|Julienned,root vegetables
Tofu|Extra firm,soybeans/tofu
Pepper,stimulants & spices misc.
Cumin Seed Ground,stimulants & spices misc.
Kasoori Methi,stimulants & spices misc.
Mustard Dijon Grainy,stimulants & spices misc.
Pepper|Cayenne|Ground,stimulants & spices misc.
Poblano,stimulants & spices misc.
Chili flakes,stimulants & spices misc.
Garam Masala,stimulants & spices misc.
Garlic|Powder,stimulants & spices misc.
Mustard Ground Shaker,stimulants & spices misc.
Paprika Shaker TFC,stimulants & spices misc.
Pepper Black Coarse Ground,stimulants & spices misc.
Seed Fennel Whole,stimulants & spices misc.
Sugar|Granulated Fine(I),sugars and sweeteners
Honey,sugars and sweeteners
Sugar|Golden Yel 20 kg,sugars and sweeteners
Tomatillio,tomatoes
Tomato|Diced,tomatoes
Tomato Pear Diced,tomatoes
Tomato Roma,tomatoes
Tomato|Crushed,tomatoes
Oil Mustard,other vegetable oils
Kaiser WW Vegan Sliced,"wheat/rye (bread, pasta, baked goods)"
Country Loaf|Slice,"wheat/rye (bread, pasta, baked goods)"
Focaccia Herb Full Sheet,"wheat/rye (bread, pasta, baked goods)"
Loaf Country Whole Wheat,"wheat/rye (bread, pasta, baked goods)"
Sourdough Bread,"wheat/rye (bread, pasta, baked goods)"
"Tortilla|Corn White 6""","wheat/rye (bread, pasta, baked goods)"
Tortilla|wht Corn Taco,"wheat/rye (bread, pasta, baked goods)"
Greek Yogurt,yogurt
Water,
Burger Patty Beef & Mushroom,
Salt,
Mayonnaise 1/2 fat,
Rice Wine Vinegar,
Honey Mustard Sauce,
Ketchup Big Red Plastic,
Mirin,
Mustard Big Yellow,
Plum Sauce,
Relish Cryovac,
Rice Vinegar,
Salt Celery,
Sauce|Chili Hot Sriracha,
Sauce|Sweet & Sour ,
Sauce|Sweet Chili,
Sauce|Worchestershire,
Soy Sauce|Low sodium ,